model,step,step_loss
RNN + velocity all,5560,0.899
RNN + velocity all,5570,0.3047
RNN + velocity all,5580,0.2852
RNN + velocity all,5590,0.4347
RNN + velocity all,5600,0.3013
RNN + velocity all,5610,0.4083
RNN + velocity all,5620,0.2888
RNN + velocity all,5630,0.3284
RNN + velocity all,5640,0.2712
RNN + velocity all,5650,0.2414
RNN + velocity all,5660,0.3165
RNN + velocity all,5670,0.3248
RNN + velocity all,5680,0.2871
RNN + velocity all,5690,0.3133
RNN + velocity all,5700,0.2173
RNN + velocity all,5710,0.2792
RNN + velocity all,5720,0.301
RNN + velocity all,5730,0.252
RNN + velocity all,5740,0.3628
RNN + velocity all,5750,0.2835
RNN + velocity all,5760,0.2936
RNN + velocity all,5770,0.4735
RNN + velocity all,5780,0.2799
RNN + velocity all,5790,0.6324
RNN + velocity all,5800,0.2823
RNN + velocity all,5810,0.2635
RNN + velocity all,5820,0.2868
RNN + velocity all,5830,0.2064
RNN + velocity all,5840,0.2199
RNN + velocity all,5850,0.2089
RNN + velocity all,5860,0.2044
RNN + velocity all,5870,0.2529
RNN + velocity all,5880,0.2441
RNN + velocity all,5890,0.2655
RNN + velocity all,5900,0.1961
RNN + velocity all,5910,0.2037
RNN + velocity all,5920,0.3326
RNN + velocity all,5930,0.423
RNN + velocity all,5940,0.2855
RNN + velocity all,5950,0.2665
RNN + velocity all,5960,0.3257
RNN + velocity all,5970,0.378
RNN + velocity all,5980,0.6498
RNN + velocity all,5990,0.3025
RNN + velocity all,6000,0.2104
RNN + velocity all,6010,0.3152
RNN + velocity all,6020,0.2574
RNN + velocity all,6030,0.3269
RNN + velocity all,6040,0.2133
RNN + velocity all,6050,0.2478
RNN + velocity all,6060,0.2653
RNN + velocity all,6070,0.2246
RNN + velocity all,6080,0.2718
RNN + velocity all,6090,0.233
RNN + velocity all,6100,0.2952
RNN + velocity all,6110,0.3449
RNN + velocity all,6120,0.2323
RNN + velocity all,6130,0.2696
RNN + velocity all,6140,0.2507
RNN + velocity all,6150,0.2847
RNN + velocity all,6160,0.293
RNN + velocity all,6170,0.317
RNN + velocity all,6180,0.184
RNN + velocity all,6190,0.2083
RNN + velocity all,6200,0.2766
RNN + velocity all,6210,0.2638
RNN + velocity all,6220,0.3289
RNN + velocity all,6230,0.4376
RNN + velocity all,6240,0.2183
RNN + velocity all,6250,0.2274
RNN + velocity all,6260,0.2801
RNN + velocity all,6270,0.3025
RNN + velocity all,6280,0.3238
RNN + velocity all,6290,0.3092
RNN + velocity all,6300,0.2963
RNN + velocity all,6310,0.6244
RNN + velocity all,6320,0.2506
RNN + velocity all,6330,0.2757
RNN + velocity all,6340,0.2936
RNN + velocity all,6350,0.2262
RNN + velocity all,6360,0.3267
RNN + velocity all,6370,0.2819
RNN + velocity all,6380,0.1744
RNN + velocity all,6390,0.2242
RNN + velocity all,6400,0.2597
RNN + velocity all,6410,0.9411
RNN + velocity all,6420,0.3418
RNN + velocity all,6430,0.3577
RNN + velocity all,6440,0.188
RNN + velocity all,6450,0.2902
RNN + velocity all,6460,0.3609
RNN + velocity all,6470,0.3095
RNN + velocity all,6480,0.3146
RNN + velocity all,6490,0.3544
RNN + velocity all,6500,0.2528
RNN + velocity all,6510,0.2333
RNN + velocity all,6520,0.3157
RNN + velocity all,6530,0.3373
RNN + velocity all,6540,0.352
RNN + velocity all,6550,0.2805
RNN + velocity all,6560,0.5147
RNN + velocity all,6570,0.3067
RNN + velocity all,6580,0.2721
RNN + velocity all,6590,0.403
RNN + velocity all,6600,0.286
RNN + velocity all,6610,0.2452
RNN + velocity all,6620,0.2913
RNN + velocity all,6630,0.3768
RNN + velocity all,6640,0.26
RNN + velocity all,6650,0.323
RNN + velocity all,6660,0.3066
RNN + velocity all,6670,0.348
RNN + velocity all,6680,1.1547
RNN + velocity all,6690,0.2435
RNN + velocity all,6700,0.3074
RNN + velocity all,6710,0.3492
RNN + velocity all,6720,0.4274
RNN + velocity all,6730,0.2964
RNN + velocity all,6740,0.4132
RNN + velocity all,6750,0.2986
RNN + velocity all,6760,0.2264
RNN + velocity all,6770,0.2618
RNN + velocity all,6780,0.3586
RNN + velocity all,6790,0.3275
RNN + velocity all,6800,0.204
RNN + velocity all,6810,0.3326
RNN + velocity all,6820,0.4783
RNN + velocity all,6830,0.3304
RNN + velocity all,6840,0.2759
RNN + velocity all,6850,0.5534
RNN + velocity all,6860,0.1809
RNN + velocity all,6870,0.2931
RNN + velocity all,6880,0.2613
RNN + velocity all,6890,0.2583
RNN + velocity all,6900,0.2981
RNN + velocity all,6910,0.2919
RNN + velocity all,6920,0.2329
RNN + velocity all,6930,0.3699
RNN + velocity all,6940,0.2208
RNN + velocity all,6950,0.2664
RNN + velocity all,6960,0.2627
RNN + velocity all,6970,0.2735
RNN + velocity all,6980,0.3023
RNN + velocity all,6990,0.2805
RNN + velocity all,7000,0.2963
RNN + velocity all,7010,0.2299
RNN + velocity all,7020,0.2714
RNN + velocity all,7030,0.2956
RNN + velocity all,7040,0.2904
RNN + velocity all,7050,0.3494
RNN + velocity all,7060,0.235
RNN + velocity all,7070,0.2737
RNN + velocity all,7080,0.2651
RNN + velocity all,7090,0.4105
RNN + velocity all,7100,0.2429
RNN + velocity all,7110,0.337
RNN + velocity all,7120,0.1715
RNN + velocity all,7130,0.2856
RNN + velocity all,7140,0.2155
RNN + velocity all,7150,0.3545
RNN + velocity all,7160,0.2768
RNN + velocity all,7170,0.3332
RNN + velocity all,7180,0.2621
RNN + velocity all,7190,0.2938
RNN + velocity all,7200,0.2564
RNN + velocity all,7210,0.2508
RNN + velocity all,7220,0.236
RNN + velocity all,7230,0.2374
RNN + velocity all,7240,0.2796
RNN + velocity all,7250,0.3261
RNN + velocity all,7260,0.2788
RNN + velocity all,7270,0.2418
RNN + velocity all,7280,0.3839
RNN + velocity all,7290,0.2875
RNN + velocity all,7300,0.1943
RNN + velocity all,7310,0.2041
RNN + velocity all,7320,0.3175
RNN + velocity all,7330,0.3066
RNN + velocity all,7340,0.5286
RNN + velocity all,7350,0.2004
RNN + velocity all,7360,0.2479
RNN + velocity all,7370,0.2134
RNN + velocity all,7380,0.1807
RNN + velocity all,7390,0.1891
RNN + velocity all,7400,0.1893
RNN + velocity all,7410,0.3694
RNN + velocity all,7420,0.2202
RNN + velocity all,7430,0.2643
RNN + velocity all,7440,0.2841
RNN + velocity all,7450,0.2304
RNN + velocity all,7460,0.2476
RNN + velocity all,7470,0.2142
RNN + velocity all,7480,0.2157
RNN + velocity all,7490,0.3193
RNN + velocity all,7500,0.213
RNN + velocity all,7510,0.2591
RNN + velocity all,7520,0.2333
RNN + velocity all,7530,0.2583
RNN + velocity all,7540,0.3622
RNN + velocity all,7550,0.2433
RNN + velocity all,7560,0.1897
RNN + velocity all,7570,0.2445
RNN + velocity all,7580,0.3046
RNN + velocity all,7590,0.2731
RNN + velocity all,7600,0.2156
RNN + velocity all,7610,0.1894
RNN + velocity all,7620,0.241
RNN + velocity all,7630,0.334
RNN + velocity all,7640,0.2892
RNN + velocity all,7650,0.2788
RNN + velocity all,7660,0.4771
RNN + velocity all,7670,0.2363
RNN + velocity all,7680,0.2736
RNN + velocity all,7690,0.3685
RNN + velocity all,7700,0.283
RNN + velocity all,7710,0.2403
RNN + velocity all,7720,0.3431
RNN + velocity all,7730,0.2077
RNN + velocity all,7740,0.4771
RNN + velocity all,7750,0.3063
RNN + velocity all,7760,0.2419
RNN + velocity all,7770,0.2971
RNN + velocity all,7780,0.3333
RNN + velocity all,7790,1.1938
RNN + velocity all,7800,0.3358
RNN + velocity all,7810,0.2415
RNN + velocity all,7820,0.2528
RNN + velocity all,7830,0.2596
RNN + velocity all,7840,0.2247
RNN + velocity all,7850,0.1986
RNN + velocity all,7860,0.4352
RNN + velocity all,7870,0.2907
RNN + velocity all,7880,0.2789
RNN + velocity all,7890,0.4169
RNN + velocity all,7900,0.3346
RNN + velocity all,7910,0.2382
RNN + velocity all,7920,0.5097
RNN + velocity all,7930,0.2713
RNN + velocity all,7940,0.4085
RNN + velocity all,7950,0.1812
RNN + velocity all,7960,0.2984
RNN + velocity all,7970,0.3132
RNN + velocity all,7980,0.2797
RNN + velocity all,7990,0.2596
RNN + velocity all,8000,0.2334
RNN + velocity all,8010,0.3169
RNN + velocity all,8020,0.1834
RNN + velocity all,8030,0.3367
RNN + velocity all,8040,0.2198
RNN + velocity all,8050,0.2907
RNN + velocity all,8060,0.313
RNN + velocity all,8070,0.2995
RNN + velocity all,8080,0.2285
RNN + velocity all,8090,0.3742
RNN + velocity all,8100,0.3224
RNN + velocity all,8110,0.6451
RNN + velocity all,8120,0.2488
RNN + velocity all,8130,0.2971
RNN + velocity all,8140,0.2365
RNN + velocity all,8150,0.3142
RNN + velocity all,8160,0.3359
RNN + velocity all,8170,0.1932
RNN + velocity all,8180,0.2718
RNN + velocity all,8190,0.2269
RNN + velocity all,8200,0.2539
RNN + velocity all,8210,0.2304
RNN + velocity all,8220,0.2961
RNN + velocity all,8230,0.2588
RNN + velocity all,8240,0.2899
RNN + velocity all,8250,0.4099
RNN + velocity all,8260,0.3896
RNN + velocity all,8270,0.2832
RNN + velocity all,8280,0.2453
RNN + velocity all,8290,0.5793
RNN + velocity all,8300,0.3599
