model,step,step_loss
Transformer 128/2,6890,0.6223
Transformer 128/2,6900,0.5785
Transformer 128/2,6910,0.6467
Transformer 128/2,6920,0.4842
Transformer 128/2,6930,0.512
Transformer 128/2,6940,0.5305
Transformer 128/2,6950,0.5592
Transformer 128/2,6960,0.491
Transformer 128/2,6970,0.4684
Transformer 128/2,6980,0.4563
Transformer 128/2,6990,0.5885
Transformer 128/2,7000,0.5134
Transformer 128/2,7010,0.5105
Transformer 128/2,7020,0.4596
Transformer 128/2,7030,0.549
Transformer 128/2,7040,0.5835
Transformer 128/2,7050,0.6427
Transformer 128/2,7060,0.6083
Transformer 128/2,7070,0.6611
Transformer 128/2,7080,0.4771
Transformer 128/2,7090,0.6336
Transformer 128/2,7100,0.533
Transformer 128/2,7110,0.4757
Transformer 128/2,7120,0.4823
Transformer 128/2,7130,0.6073
Transformer 128/2,7140,0.5022
Transformer 128/2,7150,0.4946
Transformer 128/2,7160,0.5113
Transformer 128/2,7170,0.5756
Transformer 128/2,7180,0.6123
Transformer 128/2,7190,0.6028
Transformer 128/2,7200,0.5027
Transformer 128/2,7210,0.6755
Transformer 128/2,7220,0.4135
Transformer 128/2,7230,0.5019
Transformer 128/2,7240,0.5453
Transformer 128/2,7250,0.5403
Transformer 128/2,7260,0.5218
Transformer 128/2,7270,0.5262
Transformer 128/2,7280,0.5211
Transformer 128/2,7290,0.4434
Transformer 128/2,7300,0.5765
Transformer 128/2,7310,0.5675
Transformer 128/2,7320,0.4907
Transformer 128/2,7330,0.4499
Transformer 128/2,7340,0.5678
Transformer 128/2,7350,0.4937
Transformer 128/2,7360,0.5827
Transformer 128/2,7370,0.4272
Transformer 128/2,7380,0.6429
Transformer 128/2,7390,0.5117
Transformer 128/2,7400,0.5695
Transformer 128/2,7410,0.5422
Transformer 128/2,7420,0.5605
Transformer 128/2,7430,0.4286
Transformer 128/2,7440,0.4774
Transformer 128/2,7450,0.6378
Transformer 128/2,7460,0.4607
Transformer 128/2,7470,0.3653
Transformer 128/2,7480,0.581
Transformer 128/2,7490,0.4412
Transformer 128/2,7500,0.4498
Transformer 128/2,7510,0.5877
Transformer 128/2,7520,0.6416
Transformer 128/2,7530,0.5596
Transformer 128/2,7540,0.5361
Transformer 128/2,7550,0.5568
Transformer 128/2,7560,0.5757
Transformer 128/2,7570,0.5792
Transformer 128/2,7580,0.545
Transformer 128/2,7590,0.4817
Transformer 128/2,7600,0.5926
Transformer 128/2,7610,0.4871
Transformer 128/2,7620,0.504
Transformer 128/2,7630,0.5566
Transformer 128/2,7640,0.5326
Transformer 128/2,7650,0.6161
Transformer 128/2,7660,0.4082
Transformer 128/2,7670,0.3964
Transformer 128/2,7680,0.5231
Transformer 128/2,7690,0.4331
Transformer 128/2,7700,0.4195
Transformer 128/2,7710,0.5395
Transformer 128/2,7720,0.5924
Transformer 128/2,7730,0.6015
Transformer 128/2,7740,0.5026
Transformer 128/2,7750,0.5386
Transformer 128/2,7760,0.6452
Transformer 128/2,7770,0.5
Transformer 128/2,7780,0.5204
Transformer 128/2,7790,0.5753
Transformer 128/2,7800,0.473
Transformer 128/2,7810,0.5088
Transformer 128/2,7820,0.5126
Transformer 128/2,7830,0.4365
Transformer 128/2,7840,0.4502
Transformer 128/2,7850,0.6643
Transformer 128/2,7860,0.3896
Transformer 128/2,7870,0.5575
Transformer 128/2,7880,0.5031
Transformer 128/2,7890,0.4821
Transformer 128/2,7900,0.5019
Transformer 128/2,7910,0.5328
Transformer 128/2,7920,0.4593
Transformer 128/2,7930,0.5123
Transformer 128/2,7940,0.6078
Transformer 128/2,7950,0.4723
Transformer 128/2,7960,0.4671
Transformer 128/2,7970,0.6399
Transformer 128/2,7980,0.435
Transformer 128/2,7990,0.5163
Transformer 128/2,8000,0.3483
Transformer 128/2,8010,0.4929
Transformer 128/2,8020,0.4528
Transformer 128/2,8030,0.5296
Transformer 128/2,8040,0.4539
Transformer 128/2,8050,0.4654
Transformer 128/2,8060,0.5875
Transformer 128/2,8070,0.472
Transformer 128/2,8080,0.4018
Transformer 128/2,8090,0.4825
Transformer 128/2,8100,0.4099
Transformer 128/2,8110,0.3938
Transformer 128/2,8120,0.4627
Transformer 128/2,8130,0.4997
Transformer 128/2,8140,0.4951
Transformer 128/2,8150,0.4638
Transformer 128/2,8160,0.47
Transformer 128/2,8170,0.4476
Transformer 128/2,8180,0.5073
Transformer 128/2,8190,0.4256
Transformer 128/2,8200,0.4539
Transformer 128/2,8210,0.3799
Transformer 128/2,8220,0.3811
Transformer 128/2,8230,0.4377
Transformer 128/2,8240,0.5009
Transformer 128/2,8250,0.4514
Transformer 128/2,8260,0.4246
Transformer 128/2,8270,0.599
Transformer 128/2,8280,0.4721
Transformer 128/2,8290,0.3875
Transformer 128/2,8300,0.4114
Transformer 128/2,8310,0.5048
