model,step,action,80ms,160ms,320ms,400ms,560ms,1000ms
Transformer + velocity all,8000,walking,0.372,0.605,0.764,0.834,0.937,1.142
Transformer + velocity all,8000,eating,0.257,0.408,0.583,0.717,0.915,1.29
Transformer + velocity all,8000,smoking,0.284,0.52,0.902,0.976,1.093,1.749
Transformer + velocity all,8000,discussion,0.321,0.697,0.977,1.029,1.381,1.783
Transformer + velocity all,8000,directions,0.417,0.646,0.791,0.881,0.968,1.432
Transformer + velocity all,8000,greeting,0.543,0.882,1.29,1.463,1.758,2.035
Transformer + velocity all,8000,phoning,0.617,1.138,1.53,1.675,1.531,1.881
Transformer + velocity all,8000,posing,0.326,0.636,1.211,1.48,1.744,2.533
Transformer + velocity all,8000,purchases,0.587,0.825,1.128,1.195,1.538,2.322
Transformer + velocity all,8000,sitting,0.417,0.663,1.077,1.268,1.423,1.933
Transformer + velocity all,8000,sittingdown,0.424,0.799,1.186,1.345,1.569,2.322
Transformer + velocity all,8000,takingphoto,0.282,0.56,0.846,0.974,1.072,1.46
Transformer + velocity all,8000,waiting,0.345,0.678,1.144,1.325,1.65,2.395
Transformer + velocity all,8000,walkingdog,0.573,0.914,1.177,1.292,1.677,2.131
Transformer + velocity all,8000,walkingtogether,0.318,0.601,0.782,0.835,0.938,1.421
Transformer + velocity all,9000,walking,0.373,0.604,0.755,0.828,0.951,1.189
Transformer + velocity all,9000,eating,0.261,0.422,0.616,0.756,0.941,1.426
Transformer + velocity all,9000,smoking,0.292,0.536,0.889,0.995,1.11,1.877
Transformer + velocity all,9000,discussion,0.311,0.672,0.937,1.01,1.411,1.9
Transformer + velocity all,9000,directions,0.425,0.663,0.814,0.913,1.021,1.618
Transformer + velocity all,9000,greeting,0.537,0.876,1.289,1.469,1.787,2.201
Transformer + velocity all,9000,phoning,0.619,1.15,1.538,1.676,1.578,2.035
Transformer + velocity all,9000,posing,0.344,0.669,1.237,1.503,1.733,2.457
Transformer + velocity all,9000,purchases,0.585,0.825,1.124,1.181,1.569,2.363
Transformer + velocity all,9000,sitting,0.42,0.669,1.08,1.27,1.436,2.005
Transformer + velocity all,9000,sittingdown,0.451,0.846,1.252,1.419,1.662,2.532
Transformer + velocity all,9000,takingphoto,0.282,0.556,0.842,0.965,1.075,1.531
Transformer + velocity all,9000,waiting,0.346,0.678,1.129,1.313,1.63,2.423
Transformer + velocity all,9000,walkingdog,0.584,0.942,1.219,1.347,1.674,2.171
Transformer + velocity all,9000,walkingtogether,0.314,0.595,0.759,0.8,0.891,1.49
Transformer + velocity all,10000,walking,0.364,0.589,0.733,0.815,0.948,1.143
Transformer + velocity all,10000,eating,0.255,0.408,0.608,0.754,0.944,1.406
Transformer + velocity all,10000,smoking,0.297,0.544,0.912,1.011,1.123,1.864
Transformer + velocity all,10000,discussion,0.31,0.679,0.954,1.003,1.36,1.793
Transformer + velocity all,10000,directions,0.417,0.645,0.789,0.874,0.947,1.493
Transformer + velocity all,10000,greeting,0.538,0.871,1.27,1.45,1.75,2.022
Transformer + velocity all,10000,phoning,0.619,1.145,1.547,1.702,1.598,1.91
Transformer + velocity all,10000,posing,0.327,0.662,1.27,1.551,1.764,2.432
Transformer + velocity all,10000,purchases,0.582,0.815,1.119,1.182,1.539,2.311
Transformer + velocity all,10000,sitting,0.421,0.677,1.082,1.27,1.447,2.054
Transformer + velocity all,10000,sittingdown,0.437,0.807,1.186,1.348,1.593,2.322
Transformer + velocity all,10000,takingphoto,0.273,0.547,0.832,0.959,1.074,1.438
Transformer + velocity all,10000,waiting,0.352,0.688,1.156,1.335,1.641,2.401
Transformer + velocity all,10000,walkingdog,0.57,0.924,1.223,1.344,1.692,2.16
Transformer + velocity all,10000,walkingtogether,0.304,0.58,0.744,0.781,0.889,1.519
